id,name,short_name,tla
77,Athletic Club,Athletic,ATH
78,Club Atlético de Madrid,Atleti,ATL
79,CA Osasuna,Osasuna,OSA
80,RCD Espanyol de Barcelona,Espanyol,ESP
81,FC Barcelona,Barça,FCB
82,Getafe CF,Getafe,GET
86,Real Madrid CF,Real Madrid,RMA
87,Rayo Vallecano de Madrid,Rayo Vallecano,RAY
88,Levante UD,Levante,LEV
89,RCD Mallorca,Mallorca,MAL
90,Real Betis Balompié,Real Betis,BET
92,Real Sociedad de Fútbol,Real Sociedad,RSO
94,Villarreal CF,Villarreal,VIL
95,Valencia CF,Valencia,VAL
263,Deportivo Alavés,Alavés,ALA
285,Elche CF,Elche,ELC
298,Girona FC,Girona,GIR
558,RC Celta de Vigo,Celta,CEL
559,Sevilla FC,Sevilla FC,SEV
1048,Real Oviedo,Real Oviedo,OVI
